# Vg      Vsd      Conductance
-0.50000000 -0.50000000 0.00000000
-0.50000000 -0.49665552 0.00000000
-0.50000000 -0.49331104 0.00000000
-0.50000000 -0.48996656 0.00000000
-0.50000000 -0.48662207 0.00000000
-0.50000000 -0.48327759 0.00000000
-0.50000000 -0.47993311 0.00000000
-0.50000000 -0.47658863 0.00000000
-0.50000000 -0.47324415 0.00000000
-0.50000000 -0.46989967 0.00000000
-0.50000000 -0.46655518 0.00000000
-0.50000000 -0.46321070 0.00000000
-0.50000000 -0.45986622 0.00000000
-0.50000000 -0.45652174 0.00000000
-0.50000000 -0.45317726 0.00000000
-0.50000000 -0.44983278 0.00000000
-0.50000000 -0.44648829 0.00000000
-0.50000000 -0.44314381 0.00000000
-0.50000000 -0.43979933 0.00000000
-0.50000000 -0.43645485 0.00000000
-0.50000000 -0.43311037 0.00000000
-0.50000000 -0.42976589 0.00000000
-0.50000000 -0.42642140 0.00000000
-0.50000000 -0.42307692 0.00000000
-0.50000000 -0.41973244 0.00000000
-0.50000000 -0.41638796 0.00000000
-0.50000000 -0.41304348 0.00000000
-0.50000000 -0.40969900 0.00000000
-0.50000000 -0.40635452 0.00000000
-0.50000000 -0.40301003 0.00000000
-0.50000000 -0.39966555 0.00000000
-0.50000000 -0.39632107 0.00000000
-0.50000000 -0.39297659 0.00000000
-0.50000000 -0.38963211 0.00000000
-0.50000000 -0.38628763 0.00000000
-0.50000000 -0.38294314 0.00000000
-0.50000000 -0.37959866 0.00000000
-0.50000000 -0.37625418 0.00000000
-0.50000000 -0.37290970 0.00000000
-0.50000000 -0.36956522 0.00000000
-0.50000000 -0.36622074 0.00000000
-0.50000000 -0.36287625 0.00000000
-0.50000000 -0.35953177 0.00000000
-0.50000000 -0.35618729 0.00000000
-0.50000000 -0.35284281 0.00000000
-0.50000000 -0.34949833 0.00000000
-0.50000000 -0.34615385 0.00000000
-0.50000000 -0.34280936 0.00000000
-0.50000000 -0.33946488 0.00000000
-0.50000000 -0.33612040 0.00000000
-0.50000000 -0.33277592 0.00000000
-0.50000000 -0.32943144 0.00000000
-0.50000000 -0.32608696 0.00000000
-0.50000000 -0.32274247 0.00000000
-0.50000000 -0.31939799 0.00000000
-0.50000000 -0.31605351 0.00000000
-0.50000000 -0.31270903 0.00000000
-0.50000000 -0.30936455 0.00000000
-0.50000000 -0.30602007 0.00000749
-0.50000000 -0.30267559 0.00065441
-0.50000000 -0.29933110 0.00039295
-0.50000000 -0.29598662 0.00025541
-0.50000000 -0.29264214 0.00024868
-0.50000000 -0.28929766 0.00036569
-0.50000000 -0.28595318 0.00060739
-0.50000000 -0.28260870 0.00088232
-0.50000000 -0.27926421 0.00100415
-0.50000000 -0.27591973 0.00084559
-0.50000000 -0.27257525 0.00056286
-0.50000000 -0.26923077 0.00033253
-0.50000000 -0.26588629 0.00022579
-0.50000000 -0.26254181 0.00023919
-0.50000000 -0.25919732 0.00036422
-0.50000000 -0.25585284 0.00058906
-0.50000000 -0.25250836 0.00080504
-0.50000000 -0.24916388 0.00084446
-0.50000000 -0.24581940 0.00065605
-0.50000000 -0.24247492 0.00041123
-0.50000000 -0.23913043 0.00023681
-0.50000000 -0.23578595 0.00016590
-0.50000000 -0.23244147 0.00018507
-0.50000000 -0.22909699 0.00028021
-0.50000000 -0.22575251 0.00043423
-0.50000000 -0.22240803 0.00055854
-0.50000000 -0.21906355 0.00054383
-0.50000000 -0.21571906 0.00039650
-0.50000000 -0.21237458 0.00024687
-0.50000000 -0.20903010 0.00015066
-0.50000000 -0.20568562 0.00012114
-0.50000000 -0.20234114 0.00015733
-0.50000000 -0.19899666 0.00025898
-0.50000000 -0.19565217 0.00040748
-0.50000000 -0.19230769 0.00051213
-0.50000000 -0.18896321 0.00047739
-0.50000000 -0.18561873 0.00032084
-0.50000000 -0.18227425 0.00018115
-0.50000000 -0.17892977 0.00012935
-0.50000000 -0.17558528 0.00011126
-0.50000000 -0.17224080 0.00013578
