# Vg      Vsd      Conductance
0.00000000 0.00000000 0.00003872
0.00000000 0.02525253 0.00002993
0.00000000 0.05050505 0.00004895
0.00000000 0.07575758 0.00010077
0.00000000 0.10101010 0.00016652
0.00000000 0.12626263 0.00020933
0.00000000 0.15151515 0.00022859
0.00000000 0.17676768 0.00023646
0.00000000 0.20202020 0.00023968
0.00000000 0.22727273 0.00024105
0.00000000 0.25252525 0.00024168
0.00000000 0.27777778 0.00024199
0.00000000 0.30303030 0.00024216
0.00000000 0.32828283 0.00024226
0.00000000 0.35353535 0.00024229
0.00000000 0.37878788 0.00024224
0.00000000 0.40404040 0.00024198
0.00000000 0.42929293 0.00024125
0.00000000 0.45454545 0.00023961
0.00000000 0.47979798 0.00023775
0.00000000 0.50505051 0.00023690
0.00000000 0.53030303 0.00023846
0.00000000 0.55555556 0.00024067
0.00000000 0.58080808 0.00024163
0.00000000 0.60606061 0.00024169
0.00000000 0.63131313 0.00024093
0.00000000 0.65656566 0.00023876
0.00000000 0.68181818 0.00023359
0.00000000 0.70707071 0.00022379
0.00000000 0.73232323 0.00021642
0.00000000 0.75757576 0.00022338
0.00000000 0.78282828 0.00023288
0.00000000 0.80808081 0.00023808
0.00000000 0.83333333 0.00024044
0.00000000 0.85858586 0.00024151
0.00000000 0.88383838 0.00024206
0.00000000 0.90909091 0.00024249
0.00000000 0.93434343 0.00024311
0.00000000 0.95959596 0.00024451
0.00000000 0.98484848 0.00024809
0.00000000 1.01010101 0.00025743
0.00000000 1.03535354 0.00028095
0.00000000 1.06060606 0.00032944
0.00000000 1.08585859 0.00039078
0.00000000 1.11111111 0.00043411
0.00000000 1.13636364 0.00045709
0.00000000 1.16161616 0.00046840
0.00000000 1.18686869 0.00047335
0.00000000 1.21212121 0.00047446
0.00000000 1.23737374 0.00047234
0.00000000 1.26262626 0.00047143
0.00000000 1.28787879 0.00049111
0.00000000 1.31313131 0.00053968
0.00000000 1.33838384 0.00060212
0.00000000 1.36363636 0.00064191
0.00000000 1.38888889 0.00063896
0.00000000 1.41414141 0.00060131
0.00000000 1.43939394 0.00056917
0.00000000 1.46464646 0.00053537
0.00000000 1.48989899 0.00041476
0.00000000 1.51515152 0.00021978
0.00000000 1.54040404 0.00008975
0.00000000 1.56565657 0.00003423
0.00000000 1.59090909 0.00001291
0.00000000 1.61616162 0.00000486
0.00000000 1.64141414 0.00000183
0.00000000 1.66666667 0.00000069
0.00000000 1.69191919 0.00000026
0.00000000 1.71717172 0.00000010
0.00000000 1.74242424 0.00000004
0.00000000 1.76767677 0.00000001
0.00000000 1.79292929 0.00000001
0.00000000 1.81818182 0.00000000
0.00000000 1.84343434 0.00000000
0.00000000 1.86868687 0.00000000
0.00000000 1.89393939 0.00000000
0.00000000 1.91919192 0.00000000
0.00000000 1.94444444 0.00000000
0.00000000 1.96969697 0.00000000
0.00000000 1.99494949 0.00000000
0.00000000 2.02020202 0.00000000
0.00000000 2.04545455 0.00000000
0.00000000 2.07070707 0.00000000
0.00000000 2.09595960 0.00000000
0.00000000 2.12121212 0.00000000
0.00000000 2.14646465 0.00000000
0.00000000 2.17171717 0.00000000
0.00000000 2.19696970 0.00000000
0.00000000 2.22222222 0.00000000
0.00000000 2.24747475 0.00000000
0.00000000 2.27272727 0.00000000
0.00000000 2.29797980 0.00000000
0.00000000 2.32323232 0.00000000
0.00000000 2.34848485 0.00000000
0.00000000 2.37373737 0.00000000
0.00000000 2.39898990 0.00000000
0.00000000 2.42424242 0.00000000
0.00000000 2.44949495 0.00000000
0.00000000 2.47474747 0.00000000
0.00000000 2.50000000 0.00000000

0.03030303 0.00000000 0.00003140
0.03030303 0.02525253 0.00005663
0.03030303 0.05050505 0.00011422
0.03030303 0.07575758 0.00017748
0.03030303 0.10101010 0.00021463
0.03030303 0.12626263 0.00023077
0.03030303 0.15151515 0.00023735
0.03030303 0.17676768 0.00024005
0.03030303 0.20202020 0.00024122
0.03030303 0.22727273 0.00024176
0.03030303 0.25252525 0.00024203
0.03030303 0.27777778 0.00024218
0.03030303 0.30303030 0.00024227
0.03030303 0.32828283 0.00024229
0.03030303 0.35353535 0.00024221
0.03030303 0.37878788 0.00024189
0.03030303 0.40404040 0.00024100
0.03030303 0.42929293 0.00023920
0.03030303 0.45454545 0.00023749
0.03030303 0.47979798 0.00023697
0.03030303 0.50505051 0.00023898
0.03030303 0.53030303 0.00024096
0.03030303 0.55555556 0.00024171
0.03030303 0.58080808 0.00024161
0.03030303 0.60606061 0.00024064
0.03030303 0.63131313 0.00023803
0.03030303 0.65656566 0.00023200
0.03030303 0.68181818 0.00022158
0.03030303 0.70707071 0.00021675
0.03030303 0.73232323 0.00022553
0.03030303 0.75757576 0.00023425
0.03030303 0.78282828 0.00023871
0.03030303 0.80808081 0.00024072
0.03030303 0.83333333 0.00024165
0.03030303 0.85858586 0.00024215
0.03030303 0.88383838 0.00024258
0.03030303 0.90909091 0.00024330
0.03030303 0.93434343 0.00024499
0.03030303 0.95959596 0.00024932
0.03030303 0.98484848 0.00026062
0.03030303 1.01010101 0.00028847
0.03030303 1.03535354 0.00034178
0.03030303 1.06060606 0.00040143
0.03030303 1.08585859 0.00044001
0.03030303 1.11111111 0.00046008
0.03030303 1.13636364 0.00046978
0.03030303 1.16161616 0.00047385
0.03030303 1.18686869 0.00047428
0.03030303 1.21212121 0.00047169
0.03030303 1.23737374 0.00047299
0.03030303 1.26262626 0.00049871
0.03030303 1.28787879 0.00055204
0.03030303 1.31313131 0.00061298
0.03030303 1.33838384 0.00064492
0.03030303 1.36363636 0.00063324
0.03030303 1.38888889 0.00059326
0.03030303 1.41414141 0.00056463
0.03030303 1.43939394 0.00052085
0.03030303 1.46464646 0.00037715
0.03030303 1.48989899 0.00018605
0.03030303 1.51515152 0.00007418
0.03030303 1.54040404 0.00002818
0.03030303 1.56565657 0.00001062
0.03030303 1.59090909 0.00000400
0.03030303 1.61616162 0.00000151
0.03030303 1.64141414 0.00000057
0.03030303 1.66666667 0.00000021
0.03030303 1.69191919 0.00000008
0.03030303 1.71717172 0.00000003
0.03030303 1.74242424 0.00000001
0.03030303 1.76767677 0.00000000
0.03030303 1.79292929 0.00000000
0.03030303 1.81818182 0.00000000
0.03030303 1.84343434 0.00000000
0.03030303 1.86868687 0.00000000
0.03030303 1.89393939 0.00000000
0.03030303 1.91919192 0.00000000
0.03030303 1.94444444 0.00000000
0.03030303 1.96969697 0.00000000
0.03030303 1.99494949 0.00000000
0.03030303 2.02020202 0.00000000
0.03030303 2.04545455 0.00000000
0.03030303 2.07070707 0.00000000
0.03030303 2.09595960 0.00000000
0.03030303 2.12121212 0.00000000
0.03030303 2.14646465 0.00000000
0.03030303 2.17171717 0.00000000
0.03030303 2.19696970 0.00000000
0.03030303 2.22222222 0.00000000
0.03030303 2.24747475 0.00000000
0.03030303 2.27272727 0.00000000
0.03030303 2.29797980 0.00000000
0.03030303 2.32323232 0.00000000
0.03030303 2.34848485 0.00000000
0.03030303 2.37373737 0.00000000
0.03030303 2.39898990 0.00000000
