#Vsd      IVsd
0.00000000 0.00000000
0.02525253 0.00000084
0.05050505 0.00000157
0.07575758 0.00000262
0.10101010 0.00000431
0.12626263 0.00000674
0.15151515 0.00000981
0.17676768 0.00001330
0.20202020 0.00001701
0.22727273 0.00002082
0.25252525 0.00002468
0.27777778 0.00002855
0.30303030 0.00003244
0.32828283 0.00003633
0.35353535 0.00004022
0.37878788 0.00004411
0.40404040 0.00004800
0.42929293 0.00005187
0.45454545 0.00005572
0.47979798 0.00005954
0.50505051 0.00006333
0.53030303 0.00006713
0.55555556 0.00007095
0.58080808 0.00007481
0.60606061 0.00007868
0.63131313 0.00008258
0.65656566 0.00008647
0.68181818 0.00009035
0.70707071 0.00009423
0.73232323 0.00009806
0.75757576 0.00010182
0.78282828 0.00010548
0.80808081 0.00010905
0.83333333 0.00011265
0.85858586 0.00011635
0.88383838 0.00012014
0.90909091 0.00012399
0.93434343 0.00012787
0.95959596 0.00013178
0.98484848 0.00013574
1.01010101 0.00013979
1.03535354 0.00014408
1.06060606 0.00014883
1.08585859 0.00015432
1.11111111 0.00016061
1.13636364 0.00016754
1.16161616 0.00017485
1.18686869 0.00018236
1.21212121 0.00018995
1.23737374 0.00019757
1.26262626 0.00020520
1.28787879 0.00021294
1.31313131 0.00022109
1.33838384 0.00022992
1.36363636 0.00023951
1.38888889 0.00024952
1.41414141 0.00025943
1.43939394 0.00026881
1.46464646 0.00027735
1.48989899 0.00028447
1.51515152 0.00028942
1.54040404 0.00029215
1.56565657 0.00029340
1.59090909 0.00029391
1.61616162 0.00029411
1.64141414 0.00029419
1.66666667 0.00029422
1.69191919 0.00029423
1.71717172 0.00029423
1.74242424 0.00029423
1.76767677 0.00029423
1.79292929 0.00029423
1.81818182 0.00029423
1.84343434 0.00029423
1.86868687 0.00029423
1.89393939 0.00029423
1.91919192 0.00029423
1.94444444 0.00029423
1.96969697 0.00029423
1.99494949 0.00029423
2.02020202 0.00029423
2.04545455 0.00029423
2.07070707 0.00029423
2.09595960 0.00029423
2.12121212 0.00029423
2.14646465 0.00029423
2.17171717 0.00029423
2.19696970 0.00029423
2.22222222 0.00029423
2.24747475 0.00029423
2.27272727 0.00029423
2.29797980 0.00029423
2.32323232 0.00029423
2.34848485 0.00029423
2.37373737 0.00029423
2.39898990 0.00029423
2.42424242 0.00029423
2.44949495 0.00029423
2.47474747 0.00029423
2.50000000 0.00029423
