#Vsd      IVsd
0.00000000 0.00000000
0.00300300 0.00000026
0.00600601 0.00000051
0.00900901 0.00000075
0.01201201 0.00000098
0.01501502 0.00000120
0.01801802 0.00000140
0.02102102 0.00000160
0.02402402 0.00000178
0.02702703 0.00000195
0.03003003 0.00000212
0.03303303 0.00000227
0.03603604 0.00000242
0.03903904 0.00000255
0.04204204 0.00000269
0.04504505 0.00000281
0.04804805 0.00000293
0.05105105 0.00000305
0.05405405 0.00000316
0.05705706 0.00000327
0.06006006 0.00000338
0.06306306 0.00000349
0.06606607 0.00000360
0.06906907 0.00000371
0.07207207 0.00000382
0.07507508 0.00000393
0.07807808 0.00000405
0.08108108 0.00000417
0.08408408 0.00000430
0.08708709 0.00000444
0.09009009 0.00000458
0.09309309 0.00000473
0.09609610 0.00000489
0.09909910 0.00000506
0.10210210 0.00000524
0.10510511 0.00000543
0.10810811 0.00000563
0.11111111 0.00000584
0.11411411 0.00000606
0.11711712 0.00000629
0.12012012 0.00000653
0.12312312 0.00000679
0.12612613 0.00000705
0.12912913 0.00000733
0.13213213 0.00000761
0.13513514 0.00000791
0.13813814 0.00000822
0.14114114 0.00000853
0.14414414 0.00000886
0.14714715 0.00000919
0.15015015 0.00000953
0.15315315 0.00000987
0.15615616 0.00001023
0.15915916 0.00001059
0.16216216 0.00001095
0.16516517 0.00001133
0.16816817 0.00001170
0.17117117 0.00001208
0.17417417 0.00001247
0.17717718 0.00001285
0.18018018 0.00001325
0.18318318 0.00001364
0.18618619 0.00001404
0.18918919 0.00001444
0.19219219 0.00001485
0.19519520 0.00001525
0.19819820 0.00001566
0.20120120 0.00001608
0.20420420 0.00001649
0.20720721 0.00001691
0.21021021 0.00001733
0.21321321 0.00001775
0.21621622 0.00001817
0.21921922 0.00001860
0.22222222 0.00001903
0.22522523 0.00001946
0.22822823 0.00001989
0.23123123 0.00002033
0.23423423 0.00002076
0.23723724 0.00002120
0.24024024 0.00002164
0.24324324 0.00002208
0.24624625 0.00002252
0.24924925 0.00002297
0.25225225 0.00002341
0.25525526 0.00002386
0.25825826 0.00002430
0.26126126 0.00002475
0.26426426 0.00002520
0.26726727 0.00002565
0.27027027 0.00002610
0.27327327 0.00002655
0.27627628 0.00002700
0.27927928 0.00002745
0.28228228 0.00002791
0.28528529 0.00002836
0.28828829 0.00002881
0.29129129 0.00002927
0.29429429 0.00002972
0.29729730 0.00003018
0.30030030 0.00003063
0.30330330 0.00003109
0.30630631 0.00003154
0.30930931 0.00003200
0.31231231 0.00003245
0.31531532 0.00003291
0.31831832 0.00003336
0.32132132 0.00003382
0.32432432 0.00003428
0.32732733 0.00003473
0.33033033 0.00003519
0.33333333 0.00003564
0.33633634 0.00003610
0.33933934 0.00003656
0.34234234 0.00003701
0.34534535 0.00003747
0.34834835 0.00003792
0.35135135 0.00003838
0.35435435 0.00003883
0.35735736 0.00003929
0.36036036 0.00003974
0.36336336 0.00004020
0.36636637 0.00004065
0.36936937 0.00004111
0.37237237 0.00004156
0.37537538 0.00004201
0.37837838 0.00004247
0.38138138 0.00004292
0.38438438 0.00004337
0.38738739 0.00004382
0.39039039 0.00004427
0.39339339 0.00004472
0.39639640 0.00004516
0.39939940 0.00004561
0.40240240 0.00004605
0.40540541 0.00004650
0.40840841 0.00004694
0.41141141 0.00004738
