# Vg      Vsd      Conductance
0.00000000 0.00000000 0.00005292
0.00000000 0.02525253 0.00003180
0.00000000 0.05050505 0.00003965
0.00000000 0.07575758 0.00007594
0.00000000 0.10101010 0.00012966
0.00000000 0.12626263 0.00017908
0.00000000 0.15151515 0.00021287
0.00000000 0.17676768 0.00022960
0.00000000 0.20202020 0.00023674
0.00000000 0.22727273 0.00023974
0.00000000 0.25252525 0.00024104
0.00000000 0.27777778 0.00024164
0.00000000 0.30303030 0.00024194
0.00000000 0.32828283 0.00024210
0.00000000 0.35353535 0.00024216
0.00000000 0.37878788 0.00024209
0.00000000 0.40404040 0.00024175
0.00000000 0.42929293 0.00024078
0.00000000 0.45454545 0.00023858
0.00000000 0.47979798 0.00023595
0.00000000 0.50505051 0.00023488
0.00000000 0.53030303 0.00023597
0.00000000 0.55555556 0.00023918
0.00000000 0.58080808 0.00024121
0.00000000 0.60606061 0.00024203
0.00000000 0.63131313 0.00024228
0.00000000 0.65656566 0.00024222
0.00000000 0.68181818 0.00024181
0.00000000 0.70707071 0.00024072
0.00000000 0.73232323 0.00023804
0.00000000 0.75757576 0.00023195
0.00000000 0.78282828 0.00022163
0.00000000 0.80808081 0.00021746
0.00000000 0.83333333 0.00022637
0.00000000 0.85858586 0.00023473
0.00000000 0.88383838 0.00023899
0.00000000 0.90909091 0.00024100
0.00000000 0.93434343 0.00024219
0.00000000 0.95959596 0.00024352
0.00000000 0.98484848 0.00024620
0.00000000 1.01010101 0.00025288
0.00000000 1.03535354 0.00026996
0.00000000 1.06060606 0.00030889
0.00000000 1.08585859 0.00036961
0.00000000 1.11111111 0.00042214
0.00000000 1.13636364 0.00045158
0.00000000 1.16161616 0.00046600
0.00000000 1.18686869 0.00047256
0.00000000 1.21212121 0.00047480
0.00000000 1.23737374 0.00047373
0.00000000 1.26262626 0.00047090
0.00000000 1.28787879 0.00048000
0.00000000 1.31313131 0.00051805
0.00000000 1.33838384 0.00057822
0.00000000 1.36363636 0.00062925
0.00000000 1.38888889 0.00064085
0.00000000 1.41414141 0.00061091
0.00000000 1.43939394 0.00056730
0.00000000 1.46464646 0.00052052
0.00000000 1.48989899 0.00040338
0.00000000 1.51515152 0.00021479
0.00000000 1.54040404 0.00008783
0.00000000 1.56565657 0.00003351
0.00000000 1.59090909 0.00001264
0.00000000 1.61616162 0.00000476
0.00000000 1.64141414 0.00000179
0.00000000 1.66666667 0.00000067
0.00000000 1.69191919 0.00000025
0.00000000 1.71717172 0.00000010
0.00000000 1.74242424 0.00000004
0.00000000 1.76767677 0.00000001
0.00000000 1.79292929 0.00000001
0.00000000 1.81818182 0.00000000
0.00000000 1.84343434 0.00000000
