#Vsd      IVsd
0.00000000 0.00000000
0.02525253 0.00000071
0.05050505 0.00000151
0.07575758 0.00000282
0.10101010 0.00000495
0.12626263 0.00000787
0.15151515 0.00001130
0.17676768 0.00001499
0.20202020 0.00001879
0.22727273 0.00002265
0.25252525 0.00002652
0.27777778 0.00003041
0.30303030 0.00003430
0.32828283 0.00003820
0.35353535 0.00004209
0.37878788 0.00004598
0.40404040 0.00004987
0.42929293 0.00005375
0.45454545 0.00005762
0.47979798 0.00006146
0.50505051 0.00006528
0.53030303 0.00006911
0.55555556 0.00007296
0.58080808 0.00007683
0.60606061 0.00008071
0.63131313 0.00008458
0.65656566 0.00008843
0.68181818 0.00009221
0.70707071 0.00009588
0.73232323 0.00009946
0.75757576 0.00010303
0.78282828 0.00010670
0.80808081 0.00011047
0.83333333 0.00011431
0.85858586 0.00011817
0.88383838 0.00012206
0.90909091 0.00012595
0.93434343 0.00012986
0.95959596 0.00013379
0.98484848 0.00013778
1.01010101 0.00014190
1.03535354 0.00014632
1.06060606 0.00015132
1.08585859 0.00015710
1.11111111 0.00016364
1.13636364 0.00017072
1.16161616 0.00017810
1.18686869 0.00018564
1.21212121 0.00019324
1.23737374 0.00020086
1.26262626 0.00020850
1.28787879 0.00021636
1.31313131 0.00022474
1.33838384 0.00023390
1.36363636 0.00024374
1.38888889 0.00025384
1.41414141 0.00026372
1.43939394 0.00027309
1.46464646 0.00028173
1.48989899 0.00028902
1.51515152 0.00029409
1.54040404 0.00029689
1.56565657 0.00029817
1.59090909 0.00029869
1.61616162 0.00029890
1.64141414 0.00029897
1.66666667 0.00029900
1.69191919 0.00029901
1.71717172 0.00029902
1.74242424 0.00029902
1.76767677 0.00029902
1.79292929 0.00029902
1.81818182 0.00029902
1.84343434 0.00029902
1.86868687 0.00029902
1.89393939 0.00029902
1.91919192 0.00029902
1.94444444 0.00029902
1.96969697 0.00029902
1.99494949 0.00029902
2.02020202 0.00029902
2.04545455 0.00029902
2.07070707 0.00029902
2.09595960 0.00029902
2.12121212 0.00029902
2.14646465 0.00029902
2.17171717 0.00029902
2.19696970 0.00029902
2.22222222 0.00029902
2.24747475 0.00029902
2.27272727 0.00029902
2.29797980 0.00029902
2.32323232 0.00029902
2.34848485 0.00029902
2.37373737 0.00029902
2.39898990 0.00029902
2.42424242 0.00029902
2.44949495 0.00029902
2.47474747 0.00029902
2.50000000 0.00029902
